date,BTC,ETH,BNB,SOL,XRP,DOGE,ADA,TRX,HYPE,LINK
2023-01-01,16615.1,1200.43,244.54,9.992,0.33864,0.07023,0.24996,0.05482,,5.631
2023-01-02,16673.3,1214.0,245.3,11.29,0.34821,0.0714,0.25373,0.05518,,5.694
2023-01-03,16676.8,1214.51,246.06,13.378,0.34345,0.07049,0.25287,0.05481,,5.622
2023-01-04,16852.0,1256.73,258.77,13.436,0.34712,0.07312,0.2678,0.05479,,5.808
2023-01-05,16832.5,1251.34,256.52,13.429,0.3377,0.07151,0.26929,0.05372,,5.661
2023-01-06,16950.6,1269.04,259.98,13.507,0.34426,0.07242,0.27847,0.05249,,5.713
2023-01-07,16945.5,1264.04,261.15,13.103,0.34417,0.07218,0.2768,0.05202,,5.829
2023-01-08,17129.3,1290.09,274.59,14.473,0.34531,0.07364,0.29745,0.05441,,5.964
2023-01-09,17181.2,1320.43,272.7,16.258,0.34877,0.07565,0.31685,0.05462,,6.066
2023-01-10,17439.0,1335.37,277.31,16.205,0.35068,0.07782,0.32234,0.05489,,6.167
2023-01-11,17945.2,1389.66,285.0,16.371,0.37287,0.07814,0.32289,0.05652,,6.284
2023-01-12,18844.2,1415.77,287.79,16.594,0.37455,0.08024,0.32925,0.05713,,6.387
2023-01-13,19928.4,1450.99,293.74,18.285,0.38572,0.08448,0.34539,0.06009,,6.604
2023-01-14,20950.7,1549.66,305.22,24.24,0.39536,0.08728,0.35269,0.06179,,6.86
2023-01-15,20874.4,1552.32,302.19,22.904,0.3846,0.0861,0.35068,0.06231,,6.697
2023-01-16,21183.8,1576.44,298.87,23.575,0.38545,0.08369,0.35024,0.06242,,6.671
2023-01-17,21125.5,1565.19,299.34,22.861,0.38666,0.08282,0.34547,0.06167,,6.803
2023-01-18,20674.2,1511.26,287.08,20.791,0.37813,0.08003,0.32661,0.05891,,6.331
2023-01-19,21072.7,1551.18,294.6,21.413,0.39283,0.0816,0.33803,0.0601,,6.506
